sample_id,sample_labid,sample_sequenceid,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
M-86,RADDL4B-24-078,RADDL4B-24-078,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode37,fail,64575,63250,2727.882333,1475.740862,2634,0,7321,11884,11682,11682,11677,11602
M-88,RADDL4B-24-081,RADDL4B-24-081,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode38,fail,75695,73756,3172.313862,1832.297864,2881,0,9164,11880,11682,11682,11516,11602
M-89,RADDL4B-24-082,RADDL4B-24-082_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode39,fail,59176,57469,2256.114985,1439.274035,2259,0,7686,11892,11707,11691,11516,11599
M-89,RADDL4B-24-082,RADDL4B-24-082_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode92,pass,9140,8663,387.440999,372.7791895,295,0,2341,11898,11894,11886,11121,11793
M-9,RADDL4B-23-072,RADDL4B-23-072_1,1,16 Sep 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode62,pass,44705,43771,2646.769024,1037.925694,2609,0,5766,11895,11893,11893,11881,11800
M-9,RADDL4B-23-072,RADDL4B-23-072_2,1,22 Nov 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run10,26 Nov 2024,Philippines,Nanopore,Minion,FAU49052,Amplicon,barcode55,pass,7988,7439,299.4125042,322.4431806,186,0,1727,11894,11888,11737,7940,11589
M-90,RADDL4B-24-083,RADDL4B-24-083_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode40,fail,54653,52813,2239.190915,1265.890015,2161,0,6751,11895,11887,11885,11680,11805
M-90,RADDL4B-24-083,RADDL4B-24-083_2,1,28 Nov 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run11,2 Dec 2024,Philippines,Nanopore,Minion,FAU49052,Amplicon,barcode88,pass,3264,3054,191.9368924,102.821172,159,0,473,11894,11886,11758,9512,11629
M-90,RADDL4B-24-083,RADDL4B-24-083_3,1,16 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run2,14 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode57,pass,2053,1875,70.16418036,70.4797308,42,0,381,11890,11715,9569,3076,6534
M-91,RADDL4B-24-084,RADDL4B-24-084_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode41,fail,47216,46046,2198.2117,1106.76258,2012.5,0,5784,11891,11887,11879,11677,11805
