sample_id,sample_labid,sample_sequenceid,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
M-52,RADDL4B-24-027,RADDL4B-24-027_2,RADDL4B-24-027_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode77,pass,4466,4053,232.9019444,166.7063895,180,0,1108,11895,11892,11673,10252,11593
M-53,RADDL4B-24-026,RADDL4B-24-026_1,1,6 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run4,26 Sep 2024,Philippines,Nanopore,Minion,FAU42631,Amplicon,barcode14,fail,72310,70980,2597.541485,1719.237539,2589,0,8428,11893,11887,11885,11676,11803
M-53,RADDL4B-24-026,RADDL4B-24-026_2,RADDL4B-24-026_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run12,5 Dec 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode03,pass,651,593,22.08297016,27.886827,10,0,132,11658,10098,3576,578,2745
M-53,RADDL4B-24-026,RADDL4B-24-026_2,RADDL4B-24-026_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode76,pass,12443,11751,449.7872109,510.3824318,218,0,2811,11690,11679,11671,10063,11598
M-55,RADDL4B-24-034,RADDL4B-24-034_1,1,6 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run4,26 Sep 2024,Philippines,Nanopore,Minion,FAU42631,Amplicon,barcode18,fail,75751,74234,3074.202062,1697.469028,2822,0,8525,11900,11887,11886,11884,11802
M-55,RADDL4B-24-034,RADDL4B-24-034_2,RADDL4B-24-034_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run12,5 Dec 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode06,pass,3451,3225,171.6948542,124.7633206,134,0,619,11690,11675,11659,7666,11594
M-55,RADDL4B-24-034,RADDL4B-24-034_2,RADDL4B-24-034_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode79,pass,5820,5411,279.8972511,238.9833635,205,0,1558,11899,11886,11675,10628,11590
M-56,RADDL4B-24-035,RADDL4B-24-035_1,1,6 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run4,26 Sep 2024,Philippines,Nanopore,Minion,FAU42631,Amplicon,barcode19,fail,6,6,0.1756620851,0.9900101242,0,0,6,369,348,0,0,-9
M-56,RADDL4B-24-035,RADDL4B-24-035_2,RADDL4B-24-035_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run12,5 Dec 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode07,pass,1549,1459,56.71823667,69.41609184,31,0,328,11675,11394,7971,2134,6404
M-56,RADDL4B-24-035,RADDL4B-24-035_2,RADDL4B-24-035_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode80,pass,13067,12125,743.2153872,471.5793323,640,0,2856,11896,11892,11877,11664,11800
M-58,RADDL4B-24-037,RADDL4B-24-037_1,1,6 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run4,26 Sep 2024,Philippines,Nanopore,Minion,FAU42631,Amplicon,barcode20,fail,79905,78276,3353.486674,1882.441307,2965,0,9949,11891,11885,11686,11676,11599
M-58,RADDL4B-24-037,RADDL4B-24-037_2,RADDL4B-24-037_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run12,5 Dec 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode09,pass,1079,1033,43.84679852,35.91046702,29,0,160,11675,11454,8809,1416,6588
M-58,RADDL4B-24-037,RADDL4B-24-037_2,RADDL4B-24-037_2,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode81,pass,7396,7075,307.5042742,371.4089075,184.5,0,2235,11884,11678,11671,9708,11596
M-59,RADDL4B-24-038,RADDL4B-24-038,1,6 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run4,26 Sep 2024,Philippines,Nanopore,Minion,FAU42631,Amplicon,barcode21,fail,77595,76512,3004.857023,2016.613002,2761.5,0,10497,11696,11689,11677,11515,11600
M-62,RADDL4B-24-048,RADDL4B-24-048,1,4 Oct 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode52,pass,72288,70899,5142.992038,1807.632258,4993,0,10026,11915,11894,11885,11677,11801
M-63,RADDL4B-24-049,RADDL4B-24-049,1,4 Oct 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode54,pass,70495,69570,3045.331043,2032.462696,2633,0,9450,11897,11893,11885,11677,11800
M-63,RADDL4B-24-049,RADDL4B-24-049,1,12 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run2,14 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode56,pass,5468,4909,236.7808414,192.3104003,160,0,1180,11895,11886,11878,9343,11795
M-64,RADDL4B-24-050,RADDL4B-24-050,1,4 Oct 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run8,17 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode78,pass,45605,44826,2975.414851,1287.488535,2707,0,6094,11894,11693,11684,11676,11598
M-65,RADDL4B-24-053,RADDL4B-24-053_1,RADDL4B-24-053_1,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r10_run1,6 Nov 2024,Philippines,Nanopore,Minion,FAZ05583,Amplicon,barcode17,fail,4567,4249,146.5423232,225.6597356,75,0,1239,11480,10076,7694,4923,6674
